バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
31,めがね会館,meganekaikan,"","","",35.942931,136.197885,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
32,体育館北（南）,taiikukankita,"","","",35.946616,136.198607,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
33,Ａコープ東さばえ店前（東鯖江４丁目）,Akopuhigashisabaetemmae,"","","",35.948985,136.198229,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
34,上河端口,kamikoubataguchi,"","","",35.9534,136.200607,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
35,上河端,kamikoubata,"","","",35.954453,136.202576,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
36,曲木,magariki,"","","",35.954773,136.20639,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
37,神明苑,shimmeien,"","","",35.972328,136.182953,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
38,アル・プラザ鯖江,arupurazasabae,"","","",35.968698,136.18919,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
39,ＪＲ北鯖江駅西口,JRkitasabaeekinishiguchi,"","","",35.971585,136.197687,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
40,下河端西,shimokoubatanishi,"","","",35.967285,136.19873,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
41,下河端南,shimokoubataminami,"","","",35.965073,136.201569,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
42,高年大学前,kounendaigakumae,"","","",35.964607,136.207947,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
43,舟枝,funaeda,"","","",35.963261,136.208969,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
44,桜あふれるまち中河　中河小学校前（北）,nakagawashougakkoumae,"","","",35.954792,136.209076,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
45,樋口（北）,higuchi,"","","",35.953362,136.210724,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
46,中野町松成,nakanochoumatsunari,"","","",35.955521,136.221268,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
47,松成,matsunari,"","","",35.956814,136.224213,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
48,落井口,ochiiguchi,"","","",35.95422,136.229874,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
49,今北古墳群,kompokuyamakofungun,"","","",35.957835,136.229889,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
50,乙坂今北,ossakakomboku,"","","",35.961852,136.229948,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
51,大野,oono,"","","",35.97316,136.232544,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
52,文殊山の里片上　片上公民館,katakamikouminkan,"","","",35.973378,136.231584,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
53,あじさいのまち北中山　北中山公民館（北）,kitanakayamakouminkan,"","","",35.952278,136.238166,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
