バス停ID,バス停名称,バス停名称(英語),バス停コード,説明(日本語),説明(英語),緯度,経度,料金区間ID,乗降場所に関するURL,駅ID,車椅子乗降可能か,標準地域コード
209,下司,geshi,"","","",35.94112,136.1689,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
210,鳥井,torii,"","","",35.942539,136.16774,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
211,丹南高校,tannankoukou,"","","",35.95318,136.168928,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
212,豊小学校前,yutakashougakkoumae,"","","",35.94392,136.151825,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
213,上氏家,kamiuzue,"","","",35.941006,136.156601,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
214,上野田,kaminoda,"","","",35.942181,136.149185,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
215,漆原,urushihara,"","","",35.943871,136.14386,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
216,石生谷,ishoudani,"","","",35.940727,136.135315,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
217,光道園（和田）,koudouen,"","","",35.947475,136.138824,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
218,和田口,wadaguchi,"","","",35.951176,136.142502,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
219,野田北（相生）,nodakita,"","","",35.95126,136.146484,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
220,冬島（西）,fujima,"","","",35.953945,136.147156,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
221,朝霞（北）,asaka,"","","",35.955589,136.149857,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
222,あおい団地口,aoidanchiguchi,"","","",35.955772,136.159622,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
223,丹南橋西（丹南高校）,tannambashinishi,"","","",35.955971,136.167694,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
224,小黒町（東）,koguromachi,"","","",35.955364,136.175903,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
225,鯖江中学校（東）,sabaechuugakkou,"","","",35.951622,136.176102,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
226,鯖江中学校（西）,sabaechuugakkou,"","","",35.951591,136.175949,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
227,小黒町（西）,koguromachi,"","","",35.955231,136.175751,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
228,冬島（東）,fujima,"","","",35.95396,136.147263,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
229,有定町２丁目（西）,arisadachou２choume,"","","",35.945503,136.1763,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
230,嚮陽会館内,kyouyoukaikannai,"","","",35.947439,136.179367,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
231,かがやき前（旭町４丁目）,kagayakimae,"","","",35.94965,136.187943,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
232,長泉寺（西）,chousenji,"","","",35.953438,136.187836,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
233,新出（南）,shinde,"","","",35.954353,136.194138,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
234,東鯖江２丁目,higashisabae２choume,"","","",35.949949,136.196448,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
235,横越（南）,yokogoshi,"","","",35.946101,136.204977,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
236,横越西（南）,yokogoshinishi,"","","",35.946323,136.202429,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
237,磯部（北）,isobe,"","","",35.958954,136.239853,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
238,ハニー東陽店（川島北）,hanitouyouten,"","","",35.948775,136.243872,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
239,中戸口南,nakatonokuchiminami,"","","",35.958015,136.247162,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
240,中戸口,nakatonokuchi,"","","",35.959641,136.247869,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
241,上戸口,kamitonokuchi,"","","",35.969692,136.252777,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
242,上戸口北,kamitonokuchikita,"","","",35.972511,136.254852,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
243,西袋,nishibukuro,"","","",35.958134,136.271027,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
244,椿坂,tsubae,"","","",35.958549,136.274445,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
245,金谷,kanadani,"","","",35.963818,136.284164,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
246,天屋橋,amayabashi,"","","",35.948025,136.30426,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
247,上河内,kamikouchi,"","","",35.947067,136.307404,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
248,鉱泉前,kousemmae,"","","",35.945007,136.313995,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
249,磯部（南）,isobe,"","","",35.95882,136.239838,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
250,横越西（北）,yokogoshinishi,"","","",35.946423,136.202386,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
251,横越（北）,yokogoshi,"","","",35.946227,136.205009,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
252,新出（北）,shinde,"","","",35.954586,136.193832,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
253,長泉寺（東）,chousenji,"","","",35.95343,136.187927,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
254,かがやき前（旭町４丁目）,kagayakimae,"","","",35.949696,136.188034,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
255,斎藤病院北（出口）,saitoubyouinkita,"","","",35.946449,136.207138,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
256,出口,deguchi,"","","",35.947861,136.208008,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
257,中河駐在所前,nakagawachuuzaishomae,"","","",35.949554,136.212036,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
258,花出（北）,hanaide,"","","",35.949093,136.212769,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
259,原（北）,hara,"","","",35.948425,136.219635,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
260,川島西,kawashimanishi,"","","",35.947102,136.22644,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
261,川島,kawashima,"","","",35.946354,136.230469,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
262,川島東,kawashimahigashi,"","","",35.944576,136.233948,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
263,ハニー東陽店前,"","","","",35.948757,136.243942,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
264,原（南）,hara,"","","",35.948376,136.219635,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
265,花出（南）,hanaide,"","","",35.949036,136.212723,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
266,ふくしん神明支店前（北）,"","","","",35.972881,136.179428,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
267,ＪＵＲＡＫＵ前(水落橋北)（東）,jurakumae,"","","",35.966247,136.187596,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
268,ｱｲｱｲ鯖江（文化の館）（東）,aiaisabae・bunkanoyakata,"","","",35.961582,136.187347,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
269,かがやき前（旭町4丁目）,kagayakimae,"","","",35.95026,136.187332,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
270,本町４丁目（東）,hommachi４choume,"","","",35.949444,136.185684,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
271,本山前（東）,honzammae,"","","",35.946957,136.185425,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
272,有定町３丁目,arisadachou３choume,"","","",35.948299,136.176921,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
273,道の駅西山公園（北）,michinoekinishiyamakouen,"","","",35.948642,136.180653,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
274,西山公園（西）,nishiyamakouen,"","","",35.949928,136.182587,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
275,パンダランド,pandarando,"","","",35.951937,136.183352,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
276,市役所,shiyakusho,"","","",35.956066,136.184708,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
277,鯖江郵便局（南）,sabaeyuubinkyoku,"","","",35.95956,136.182968,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
278,水落町１丁目（西）,mizuochichou１choume,"","","",35.961048,136.177933,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
279,本山前（西）,honzammae,"","","",35.94706,136.185318,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
280,本町４丁目（西）,hommachi４choume,"","","",35.949524,136.185623,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
281,ｱｲｱｲ鯖江（文化の館）（西）,aiaisabae・bunkanoyakata,"","","",35.961662,136.187271,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
282,ＪＵＲＡＫＵ前(水落橋北)（西）,jurakumae,"","","",35.966259,136.187327,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
283,ふくしん神明支店前（南）,"","","","",35.972775,136.179367,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
284,水落町１丁目（東）,mizuochichou１choume,"","","",35.961025,136.17804,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
285,鯖江郵便局（北）,sabaeyuubinkyoku,"","","",35.959599,136.182571,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
286,西山公園（東）,nishiyamakouen,"","","",35.950867,136.183197,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
287,道の駅西山公園（南）,michinoekinishiyamakouen,"","","",35.948403,136.180505,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
288,アル・プラザ鯖江前　西,arupurazasabaemae,"","","",35.9690985,136.1874141,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
290,アル・プラザ鯖江前　東,arupurazasabaemae,"","","",35.9688729,136.1874424,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
292,糺橋東,tadasubashihigashi,"","","",35.973095,136.170526,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
293,本楽寺前（石田下東）,hongakujimae,"","","",35.978897,136.157265,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
294,ハーツ神中店前（神中町2丁目北）,hatsukaminakatemmae,"","","",35.970399,136.190731,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
295,沢,sawa,"","","",35.952219,136.294664,"","","","",http://statdb.nstac.go.jp/lod/sac/C18207
